source_id,mass,radial_velocity,teff,logg,spectral_type,mag_g,mag_bp,mag_rp,age,radius
1772928092940009524,0.932,-74.14749,6109.4204,4.253,F8V,21.109081,21.637722,20.389637,10.0,1.1930299
1729428090653769749,1.68,-18.946568,7673.6147,4.2,A8V,17.943316,18.549723,17.15823,0.575,1.6774567
1772928092940009527,0.881,-106.31154,6151.7686,4.16,F5.5IV,17.324696,17.738808,16.71073,12.0,1.290183
1729428090653769763,1.553,-58.870792,7328.245,4.246,A9.5V,20.81174,22.1971,19.614952,0.575,1.5298587
1729428090653769993,1.137,137.63199,3357.3762,0.452,M5.5III,15.966519,20.49595,14.33853,10.0,94.76573
1772928092940009529,0.881,-121.691666,6151.7686,4.16,F5.5IV,17.749924,18.149305,17.151134,12.0,1.290183
1729428090653770017,1.13,-171.40253,3819.4426,1.22,K9III,17.50135,20.648346,15.957001,10.0,42.525684
1729428090653770021,1.13,-249.3381,3899.42,1.373,K8III,18.793894,21.90595,17.257267,10.0,35.863388
1729428090653770049,1.13,-100.91913,3698.2817,1.018,M0.5III,18.258055,21.643078,16.699871,10.0,53.78378
1772928093074227206,0.226,-19.721254,3357.3762,5.052,M2.5V,21.384445,22.755323,20.17904,4.0,0.23369601
1729428090653770072,1.13,-43.339363,3605.7864,0.864,M2III,17.191761,21.412533,15.554397,10.0,64.069496
1729428090787987473,1.469,30.524878,6998.42,4.255,F1V,18.660816,19.421179,17.76652,0.575,1.4745222
1729428090787987482,1.414,36.013397,6839.1167,4.274,F2.5V,19.649157,20.64263,18.620325,0.575,1.4146575
1772928093074227207,0.166,-4.5429177,3221.0688,5.122,M4V,24.250519,26.03688,22.915846,4.0,0.18392947
1729428090787987487,1.925,-0.50690794,8413.951,4.158,A5V,20.424889,21.911652,19.187828,0.575,1.8908249
1729428090787987490,2.516,-10.069233,10351.422,4.175,B9.5Ve,19.717598,20.904072,18.583284,0.575,2.1117928
1772928093074227208,0.184,22.780901,3273.407,5.099,M3.5V,24.017103,25.844933,22.675274,4.0,0.19890757
1729428090787987565,1.514,-13.641297,6668.068,3.937,F3IV,18.445068,19.317766,17.481472,2.5,2.1609828
1729428090787987705,0.993,208.45767,3589.2192,0.509,M2III,16.877825,21.47625,15.237749,10.0,91.75956
1772928093074227210,0.58,-11.116489,4365.158,4.72,K5V,21.560373,22.459515,20.588743,4.0,0.54531986
1729428090787987732,1.13,-72.483215,3698.2817,1.018,M0.5III,17.596039,20.804197,16.054033,10.0,53.78378
