Step,Universe_W,Star_9.445897908837262e+17_TimePerceived,Star_9.427221329459534e+17_TimePerceived,Star_9.445898209478259e+17_TimePerceived,Star_2.041304982640783e+18_TimePerceived,Star_9.434836435312623e+17_TimePerceived,Star_9.43483647827419e+17_TimePerceived,Star_9.434836778910016e+17_TimePerceived,Star_2.0413050170005233e+18_TimePerceived,Star_2.0408476888823956e+18_TimePerceived,Star_2.0403568943804288e+18_TimePerceived,Star_5.931954537111937e+18_TimePerceived,Star_9.434836778910071e+17_TimePerceived,Star_4.1619149859307254e+18_TimePerceived,Star_4.0765605167712635e+18_TimePerceived,Star_4.076560516771264e+18_TimePerceived,Star_4.0765605167712655e+18_TimePerceived,Star_4.076560546777696e+18_TimePerceived,Star_4.076560546777713e+18_TimePerceived,Star_4.0764712501123804e+18_TimePerceived,Star_9.42722197369509e+17_TimePerceived,Star_9.42722201665432e+17_TimePerceived,Star_9.427222360251636e+17_TimePerceived,Star_4.16212997049178e+18_TimePerceived,Star_4.1618340343823575e+18_TimePerceived,Star_2.040847723242148e+18_TimePerceived,Star_2.040847723242156e+18_TimePerceived,Star_2.0408477876639347e+18_TimePerceived,Star_9.445901344810991e+17_TimePerceived,Star_9.445901688408457e+17_TimePerceived,Star_9.445902676244347e+17_TimePerceived,Star_9.445903062797924e+17_TimePerceived,Star_2.040356928740178e+18_TimePerceived,Star_2.040356928742421e+18_TimePerceived,Star_2.0403569931568527e+18_TimePerceived,Star_4.1617575152423373e+18_TimePerceived,Star_4.1617575152423404e+18_TimePerceived,Star_5.931954537196422e+18_TimePerceived,Star_5.931954567174296e+18_TimePerceived,Star_2.0410755970271713e+18_TimePerceived,Star_2.0410756657466086e+18_TimePerceived,Star_5.931920899014812e+18_TimePerceived,Star_5.931920899014819e+18_TimePerceived,Star_4.1619771083403715e+18_TimePerceived,Star_4.1619771383812495e+18_TimePerceived,Star_4.161977138381264e+18_TimePerceived,Star_4.16197713838198e+18_TimePerceived,Star_2.0406120497957757e+18_TimePerceived,Star_2.0406120798549046e+18_TimePerceived,Star_2.0406120841555108e+18_TimePerceived,Star_9.410187446203845e+17_TimePerceived
1,0.02,0.3683,0.3274,0.7514,0.7603,0.3747,1.4373,1.7992,1.6997,0.2074,1.5932,0.6393,3.0416,0.3759,0.8649,0.6827,0.2867,1.5485,1.4545,0.4357,0.6478,0.0942,0.2006,1.2613,0.6009,0.3466,0.3763,1.6849,0.5549,0.2745,3.9217,0.259,0.2423,0.0703,1.143,0.0965,0.8664,0.2713,0.8807,1.46,0.5212,1.0507,1.2969,0.1032,0.4139,0.1847,0.3022,0.8688,0.3873,0.9652,5.5515
2,0.04,0.7366,0.6548,1.5028,1.5206,0.7494,2.8745,3.5985,3.3995,0.4149,3.1865,1.2785,6.0832,0.7519,1.7298,1.3654,0.5734,3.097,2.909,0.8714,1.2957,0.1883,0.4012,2.5226,1.2019,0.6933,0.7526,3.3699,1.1098,0.549,7.8433,0.5179,0.4846,0.1406,2.286,0.193,1.7328,0.5425,1.7613,2.9201,1.0423,2.1014,2.5938,0.2064,0.8278,0.3695,0.6044,1.7377,0.7746,1.9303,11.103
3,0.06,1.1048,0.9822,2.2542,2.2809,1.1242,4.3118,5.3977,5.0992,0.6223,4.7797,1.9178,9.1247,1.1278,2.5947,2.0482,0.8602,4.6455,4.3635,1.3071,1.9435,0.2825,0.6018,3.784,1.8028,1.0399,1.1289,5.0548,1.6646,0.8234,11.765,0.7769,0.7269,0.2108,3.429,0.2895,2.5992,0.8138,2.642,4.3801,1.5635,3.1521,3.8907,0.3096,1.2417,0.5542,0.9066,2.6065,1.1618,2.8955,16.6546
4,0.08,1.4731,1.3096,3.0056,3.0412,1.4989,5.7491,7.197,6.799,0.8297,6.373,2.5571,12.1663,1.5037,3.4596,2.7309,1.1469,6.1939,5.8179,1.7428,2.5914,0.3766,0.8024,5.0453,2.4038,1.3865,1.5053,6.7398,2.2195,1.0979,15.6867,1.0359,0.9693,0.2811,4.572,0.386,3.4656,1.085,3.5226,5.8401,2.0846,4.2029,5.1876,0.4128,1.6556,0.739,1.2087,3.4754,1.5491,3.8607,22.2061
5,0.1,1.8414,1.637,3.7569,3.8015,1.8736,7.1863,8.9962,8.4987,1.0372,7.9662,3.1964,15.2079,1.8797,4.3245,3.4136,1.4336,7.7424,7.2724,2.1785,3.2392,0.4708,1.0031,6.3066,3.0047,1.7331,1.8816,8.4247,2.7744,1.3724,19.6083,1.2948,1.2116,0.3514,5.715,0.4825,4.332,1.3563,4.4033,7.3002,2.6058,5.2536,6.4845,0.5159,2.0694,0.9237,1.5109,4.3442,1.9364,4.8259,27.7576
6,0.12000000000000001,2.2097,1.9643,4.5083,4.5618,2.2483,8.6236,10.7955,10.1985,1.2446,9.5594,3.8356,18.2495,2.2556,5.1894,4.0963,1.7203,9.2909,8.7269,2.6142,3.8871,0.5649,1.2037,7.5679,3.6056,2.0798,2.2579,10.1096,3.3293,1.6469,23.53,1.5538,1.4539,0.4217,6.858,0.579,5.1984,1.6275,5.2839,8.7602,3.1269,6.3043,7.7814,0.6191,2.4833,1.1085,1.8131,5.2131,2.3237,5.791,33.3091
7,0.14,2.5779,2.2917,5.2597,5.3221,2.6231,10.0609,12.5947,11.8982,1.452,11.1527,4.4749,21.291,2.6315,6.0543,4.779,2.007,10.8394,10.1814,3.0499,4.5349,0.6591,1.4043,8.8293,4.2066,2.4264,2.6342,11.7946,3.8842,1.9214,27.4517,1.8128,1.6962,0.4919,8.001,0.6755,6.0648,1.8988,6.1646,10.2202,3.6481,7.355,9.0782,0.7223,2.8972,1.2932,2.1153,6.0819,2.711,6.7562,38.8606
8,0.16,2.9462,2.6191,6.0111,6.0824,2.9978,11.4982,14.394,13.598,1.6595,12.7459,5.1142,24.3326,3.0075,6.9191,5.4617,2.2938,12.3879,11.6359,3.4856,5.1828,0.7532,1.6049,10.0906,4.8075,2.773,3.0105,13.4795,4.4391,2.1959,31.3733,2.0717,1.9385,0.5622,9.144,0.772,6.9313,2.17,7.0453,11.6803,4.1692,8.4057,10.3751,0.8255,3.3111,1.478,2.4175,6.9507,3.0982,7.7214,44.4122
9,0.18,3.3145,2.9465,6.7625,6.8427,3.3725,12.9354,16.1932,15.2977,1.8669,14.3392,5.7535,27.3742,3.3834,7.784,6.1445,2.5805,13.9364,13.0904,3.9213,5.8306,0.8474,1.8055,11.3519,5.4085,3.1196,3.3868,15.1645,4.9939,2.4703,35.295,2.3307,2.1808,0.6325,10.287,0.8684,7.7977,2.4413,7.9259,13.1403,4.6904,9.4564,11.672,0.9287,3.725,1.6627,2.7197,7.8196,3.4855,8.6866,49.9637
10,0.19999999999999998,3.6828,3.2739,7.5139,7.603,3.7472,14.3727,17.9925,16.9975,2.0743,15.9324,6.3927,30.4158,3.7593,8.6489,6.8272,2.8672,15.4848,14.5448,4.357,6.4784,0.9415,2.0061,12.6132,6.0094,3.4663,3.7632,16.8494,5.5488,2.7448,39.2167,2.5897,2.4231,0.7028,11.43,0.9649,8.6641,2.7125,8.8066,14.6003,5.2115,10.5072,12.9689,1.0319,4.1389,1.8475,3.0218,8.6884,3.8728,9.6517,55.5152
