source_id,radial_velocity,phot_g_mean_mag,teff_gspphot,logg_gspphot,bp_rp,ruwe
4052307003895216512,-906.6071,15.199676,4733.7075,2.6194,2.0421505,0.8502854
3001468183198140800,-885.2032,15.237138,3896.7756,4.6565,2.0794172,1.0691185
4313545645245332864,-878.91626,14.897272,6419.202,3.8249,1.5938883,1.0378172
4255077877498765696,-877.84454,15.591184,6304.514,3.9583,1.8963432,0.9123972
670746696180987648,-871.40405,14.852939,5757.6953,4.4269,0.84662056,1.004915
3416522621408031360,-865.7915,15.179985,7557.0977,4.267,1.6605167,0.95602405
460980974485934976,-864.9447,15.6640835,3487.8914,4.8289,2.5775585,1.0921106
4043760912332177536,-862.40173,15.438626,5818.251,2.9478,2.338931,0.9693021
2507972936192261632,-854.7091,15.548094,3576.113,4.7185,2.5191202,1.0840954
3016407556921872256,-853.3459,15.681403,3521.6892,3.9742,2.5917616,1.0852631
4061196044364634624,-848.24316,15.819404,7582.672,3.8034,2.4667635,1.135055
5900286983032022528,-841.6967,14.586016,6055.949,4.1519,0.9894438,0.97071505
4069681937636687232,-832.83154,14.905864,5277.6025,3.8101,1.3223448,0.9173442
4053293304579636480,-828.89636,15.206879,7945.4995,3.2162,1.5079403,0.98941123
4104769484034552448,-828.3319,15.453213,4612.0723,2.4851,2.2284212,1.0437559
464624412425148416,-826.4347,15.511892,6204.6797,4.2716,1.440134,1.2755674
5941451431390155776,-825.33386,15.814677,7162.4487,2.8603,3.2590551,1.0287962
5254851637274716288,-811.411,14.700093,5276.116,3.436,1.5191917,0.94892955
5255157542014881664,-809.8909,14.51927,6477.79,4.2067,0.6682377,0.96414614
4049936869147243648,-807.5802,15.669179,5848.555,3.7899,2.0279999,0.9777964
4185354306086304128,-805.7012,15.478498,3612.7385,4.3952,2.493823,1.0318292
4146964342221788160,-805.28107,15.744094,3522.9229,0.5574,5.486289,0.9503074
6516053940285719424,-804.95605,15.303993,4270.1074,4.2466,1.9182663,1.1017435
4255131856652195840,-804.3489,16.16938,5198.086,2.3402,4.145258,1.2161181
4426805337245080320,-802.96326,15.121218,5085.7314,4.5815,1.3382845,1.1284267
4156270814771635712,-802.5367,14.962637,9827.582,3.6918,1.6531363,1.047367
4163705952924923520,-802.0853,15.657535,6901.7954,3.5286,2.5118923,1.0209903
4323347379065403776,-800.1992,15.625889,7089.6772,2.3664,3.1869574,1.0743445
287116128493851520,-799.7369,14.4322,6319.4976,3.6518,0.97866917,1.352836
5232929024643687552,-798.4184,14.572503,7002.821,4.0608,0.7329855,0.9521077
98296137660322304,-798.0061,14.767284,6029.4307,3.5707,1.0253639,1.0834954
4099118818866514560,-792.0249,14.549568,5576.5093,4.0442,1.1881704,1.0356034
6049385505691347712,-790.36646,16.138403,3529.5164,4.289,4.002886,0.927329
4041441359458718720,-783.0389,14.906529,6868.405,3.9302,1.1612988,0.93198043
3134808741440717696,-780.56396,14.634514,5924.0083,4.6745,0.7987623,0.95962644
4059682429258846208,-780.11755,15.933775,6095.839,2.8716,3.3259583,1.1349227
5887026911511993344,-776.26526,15.095494,6825.1455,3.2195,1.8095808,0.95973974
4061403710268439040,-773.14496,15.223637,7746.0625,3.5043,2.6242514,1.0412287
3350187607437467520,-773.12665,14.795724,6810.7466,4.1813,1.0795517,0.9922142
1227763787936437632,-771.41846,15.377927,3595.4814,4.7731,2.3750916,1.0794995
