Step,Universe_W,Gwen_TimePerceived,Nova_TimePerceived,Singularis_TimePerceived,Tachyon_TimePerceived,Inverse_TimePerceived
1,0.02,1.02,0.3533,0.021,5.02,1.02
2,0.04,2.04,0.7067,0.042,10.04,2.04
3,0.06,3.06,1.06,0.063,15.06,3.06
4,0.08,4.08,1.4133,0.084,20.08,4.08
5,0.1,5.1,1.7667,0.105,25.1,5.1
6,0.12000000000000001,6.12,2.12,0.126,30.12,6.12
7,0.14,7.14,2.4733,0.147,35.14,7.14
8,0.16,8.16,2.8267,0.168,40.16,8.16
9,0.18,9.18,3.18,0.189,45.18,9.18
10,0.19999999999999998,10.2,3.5333,0.21,50.2,10.2
