name,mass,g,Teff,r_star,r_env,B_field,temperature,eccentricity,inclination,omega,Omega,Tp,P,q,v
S2,14,1.0e4,25000,6.36,0.0023,8700,1e5,0.8843,133.91,66.25,228.07,2018.379,16.0518,0.00057,7650
S38,5.97,2.5e3,3330,185.84,0.0087,2400,1e4,0.8201,171.10,17.99,101.06,2003.190,19.2,0.00101,570
S55,0.11,1.2e4,25000,1.70,0.0006,12000,1e5,0.7209,150.10,331.50,325.50,2009.340,12.8,0.00006,2460
S62,6.1,1.0e4,25000,3.80,0.0002,15000,1e5,0.9760,72.76,42.62,122.61,2003.330,9.9,0.00001,7030
S4711,2.2,1.2e4,11588,2.59,0.0005,10000,1e5,0.768,114.71,131.59,20.10,2010.85,7.6,0.00003,2200
S4714,2.0,1.2e4,11000,2.45,0.00004,18000,1e5,0.985,127.7,357.25,129.28,2017.29,12.0,0.000003,8000
S4715,2.8,1.2e4,12000,2.37,0.0003,10500,1e5,0.247,129.8,359.99,282.15,2008.05,20.2,0.00022,750
S4716,2.5,1.2e4,12417,2.45,0.0002,11000,1e5,0.756,161.24,151.54,0.073,2011.00,4.0,0.00001,2450
S29,0.43,1.5e4,25000,0.87,0.0014,3000,1e5,0.728,105.80,346.50,161.96,2025.96,101.0,0.00023,952
S31,0.45,1.5e4,25000,0.63,0.0021,1800,1e5,0.5497,109.03,308.00,137.16,2018.07,108.0,0.00040,1654
S60,0.39,1.5e4,25000,0.89,0.0015,1900,1e5,0.7179,126.87,29.37,170.54,2023.89,87.1,0.00022,895
S66,1.5,1.2e4,33000,7.5,0.0081,900,1e5,0.128,128.50,134.00,92.30,1771.00,664.0,0.00238,10712
S83,1.49,1.2e4,33000,7.5,0.0052,1000,1e5,0.365,127.20,203.60,87.70,2046.80,656.0,0.00172,7739
S145,5.12,2.5e3,3330,179.46,0.0041,2600,1e4,0.500,83.70,185.00,263.92,1808.00,426.0,0.00100,4580
S175,0.41,1.5e4,25000,0.87,0.00001,20000,1e5,0.9867,88.53,68.52,326.83,2009.51,96.2,0.000001,4270
S1,0.60,1.5e4,25000,4.49,0.0032,1500,1e5,0.5560,119.14,122.30,342.04,2001.80,166.0,0.00077,2161
S4,0.36,1.5e4,25000,0.57,0.0028,1700,1e5,0.3905,80.33,290.80,258.84,1957.40,77.0,0.00063,1780
S6,0.66,1.5e4,25000,4.53,0.0019,2200,1e5,0.8400,87.24,116.23,85.07,2108.61,192.0,0.00091,860
S8,0.40,1.5e4,25000,4.47,0.0014,2500,1e5,0.8031,74.37,346.70,315.43,1983.64,92.9,0.00069,652
S9,0.27,1.5e4,25000,0.93,0.0016,2100,1e5,0.6440,82.41,150.60,156.60,1976.71,51.3,0.00084,793
S12,0.30,1.5e4,25000,1.69,0.0007,2800,1e5,0.8883,33.56,317.90,230.10,1995.59,58.9,0.00029,273
S13,0.26,1.5e4,25000,0.69,0.0011,1600,1e5,0.4250,24.70,245.20,74.50,2004.86,49.0,0.00053,1242
S14,0.29,1.5e4,25000,3.18,0.0001,19000,1e5,0.9761,100.59,334.59,226.38,2000.12,55.3,0.00001,56
S18,0.24,1.5e4,25000,0.77,0.0013,1400,1e5,0.4710,110.67,349.46,49.11,1993.86,41.9,0.00043,1029
S19,0.52,1.5e4,25000,0.83,0.0022,1600,1e5,0.7500,71.96,155.20,344.60,2005.39,135.0,0.00045,1063
S21,0.22,1.5e4,25000,1.32,0.0009,1800,1e5,0.7640,58.80,166.40,259.64,2027.40,37.0,0.00018,423
S22,1.31,1.5e4,25000,0.32,0.0071,700,1e5,0.4490,105.76,95.00,291.70,1996.90,540.0,0.00157,5904
S24,0.94,1.5e4,25000,0.99,0.0019,1700,1e5,0.8970,103.67,290.00,7.93,2024.50,331.0,0.00023,795
S33,0.66,1.5e4,25000,0.56,0.0023,1500,1e5,0.6080,60.50,303.70,100.10,1928.00,192.0,0.00046,2107
S39,0.37,1.5e4,25000,1.86,0.0003,19000,1e5,0.9236,89.36,23.30,159.03,2000.060,81.1,0.00005,2312
